dataset,method,model,split,config,alpha,noise_rate,erasure_rate,runs,attained_runs,N_clean_mean,N_attack_mean,compensation_ratio_mean,compensation_ratio_std
alfworld,rank,deepseek,ID,top3,0.01,0.5,0.3,3,0,16.666666666666668,,,
alfworld,rank,deepseek,ID,top3,0.01,0.5,0.5,3,0,16.666666666666668,,,
alfworld,rank,deepseek,ID,top3,0.01,0.5,0.7,3,0,16.666666666666668,,,
alfworld,rank,deepseek,ID,top5,0.01,0.0,0.0,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,top5,0.01,0.0,0.1,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,top5,0.01,0.0,0.2,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,top5,0.01,0.0,0.3,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,top5,0.01,0.0,0.5,3,3,20,23.333333333333332,1.1666666666666667,0.28867513459481287
alfworld,rank,deepseek,ID,top5,0.01,0.0,0.7,3,3,20,33.333333333333336,1.6666666666666667,0.7637626158259734
alfworld,rank,deepseek,ID,top5,0.01,0.05,0.0,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,top5,0.01,0.05,0.1,3,3,20,16.666666666666668,0.8333333333333334,0.28867513459481287
alfworld,rank,deepseek,ID,top5,0.01,0.05,0.2,3,3,20,23.333333333333332,1.1666666666666667,0.28867513459481287
alfworld,rank,deepseek,ID,top5,0.01,0.05,0.3,3,3,20,23.333333333333332,1.1666666666666667,0.28867513459481287
alfworld,rank,deepseek,ID,top5,0.01,0.05,0.5,3,3,20,23.333333333333332,1.1666666666666667,0.28867513459481287
alfworld,rank,deepseek,ID,top5,0.01,0.05,0.7,3,3,20,36.666666666666664,1.8333333333333333,0.5773502691896257
alfworld,rank,deepseek,ID,top5,0.01,0.1,0.0,3,3,20,23.333333333333332,1.1666666666666667,0.28867513459481287
alfworld,rank,deepseek,ID,top5,0.01,0.1,0.1,3,3,20,23.333333333333332,1.1666666666666667,0.28867513459481287
alfworld,rank,deepseek,ID,top5,0.01,0.1,0.2,3,3,20,23.333333333333332,1.1666666666666667,0.5773502691896257
alfworld,rank,deepseek,ID,top5,0.01,0.1,0.3,3,3,20,26.666666666666668,1.3333333333333333,0.28867513459481287
alfworld,rank,deepseek,ID,top5,0.01,0.1,0.5,3,3,20,30,1.5,0.8660254037844386
alfworld,rank,deepseek,ID,top5,0.01,0.1,0.7,3,3,20,43.333333333333336,2.1666666666666665,1.6072751268321592
alfworld,rank,deepseek,ID,top5,0.01,0.15,0.0,3,3,20,26.666666666666668,1.3333333333333333,0.28867513459481287
alfworld,rank,deepseek,ID,top5,0.01,0.15,0.1,3,3,20,23.333333333333332,1.1666666666666667,0.28867513459481287
alfworld,rank,deepseek,ID,top5,0.01,0.15,0.2,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,top5,0.01,0.15,0.3,3,3,20,30,1.5,0.8660254037844386
alfworld,rank,deepseek,ID,top5,0.01,0.15,0.5,3,3,20,26.666666666666668,1.3333333333333333,0.28867513459481287
alfworld,rank,deepseek,ID,top5,0.01,0.15,0.7,3,3,20,50,2.5,0.0
alfworld,rank,deepseek,ID,top5,0.01,0.2,0.0,3,3,20,30,1.5,0.0
alfworld,rank,deepseek,ID,top5,0.01,0.2,0.1,3,3,20,26.666666666666668,1.3333333333333333,0.28867513459481287
